bowler,total_balls,total_runs,total_wickets,boundaries_conceded,dots,economy,dot_pct,wicket_rate
Abdullah Rana,137,186,14,26,38,8.145985401459855,0.2773722627737226,0.10218978102189781
Abdullah Shahid,89,74,4,8,52,4.98876404494382,0.5842696629213483,0.0449438202247191
Abdullah Sheikh,100,106,3,9,37,6.359999999999999,0.37,0.03
Abdullahi Ismail,92,96,5,10,46,6.260869565217391,0.5,0.05434782608695652
Abdur Rauf,224,217,8,26,118,5.8125,0.5267857142857143,0.03571428571428571
Abdur Razzak,7039,5642,212,535,3819,4.8092058531041335,0.5425486574797557,0.030117914476488136
Abdur Rehman,1732,1286,47,99,922,4.454965357967668,0.5323325635103926,0.027136258660508082
Abeera Waris,47,67,2,7,18,8.553191489361703,0.3829787234042553,0.0425531914893617
Abhijeet Ahuja,12,8,2,2,8,4.0,0.6666666666666666,0.16666666666666666
Abhinav Raman,74,109,3,14,27,8.837837837837837,0.36486486486486486,0.04054054054054054
Abhiraj Singh,973,683,47,74,587,4.211716341212744,0.6032887975334018,0.048304213771839674
Abhishek Anand,13,8,1,0,5,3.6923076923076925,0.38461538461538464,0.07692307692307693
Abhishek Sharma,167,240,7,26,41,8.622754491017965,0.24550898203592814,0.041916167664670656
Abid Mushtaq,53,41,1,1,29,4.641509433962264,0.5471698113207547,0.018867924528301886
Abid Ullah Shah,46,41,0,2,30,5.3478260869565215,0.6521739130434783,0.0
Abraar Khan,12,10,1,0,4,5.0,0.3333333333333333,0.08333333333333333
Abraash Khan,76,66,8,6,39,5.210526315789474,0.5131578947368421,0.10526315789473684
Abrar Ahmed,1671,1559,82,163,748,5.597845601436266,0.44763614602034707,0.049072411729503294
Absar Khan,6,8,1,1,0,8.0,0.0,0.16666666666666666
Abu Hider,236,333,6,46,100,8.466101694915254,0.423728813559322,0.025423728813559324
Abu Jayed,140,167,6,22,64,7.1571428571428575,0.45714285714285713,0.04285714285714286
Abubacarr Kuyateh,204,250,10,32,96,7.352941176470588,0.47058823529411764,0.049019607843137254
Abul Farhad,220,292,15,37,94,7.963636363636364,0.42727272727272725,0.06818181818181818
Abul Hasan,257,306,2,45,122,7.14396887159533,0.47470817120622566,0.007782101167315175
Ada Bhasin,528,379,25,33,326,4.306818181818182,0.6174242424242424,0.04734848484848485
Adam Senn,247,253,7,26,122,6.145748987854251,0.4939271255060729,0.02834008097165992
Adama Kamara,91,87,3,6,36,5.736263736263736,0.3956043956043956,0.03296703296703297
Adeel Raja,281,288,6,33,123,6.149466192170818,0.4377224199288256,0.021352313167259787
Adhitya Shetty,60,56,1,6,28,5.6,0.4666666666666667,0.016666666666666666
Adil Afzal,6,11,0,1,0,11.0,0.0,0.0
Adil Bhatti,146,158,6,18,59,6.493150684931507,0.4041095890410959,0.0410958904109589
Adil Butt,425,528,29,73,195,7.454117647058824,0.4588235294117647,0.06823529411764706
Adil Hanif,138,93,4,10,85,4.043478260869565,0.6159420289855072,0.028985507246376812
Adil Khan,81,97,6,12,40,7.185185185185185,0.49382716049382713,0.07407407407407407
